t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
0.0, 60.0, 100.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.975013300969444, 0.0, 0.07490226337559519, 0.0, 0.0, 60.59800266476275, 84.03992007614816, 20.0
0.01, 60.0, 100.0, -1.5707963267948966, 0.0, 0.0, 0.006, 1.2, 1.2285017999999999, 0.0, 0.00576009319350042, 15.975013300969444, 0.0, 0.07490226337559519, 0.0, 0.006, 60.59800266476275, 84.03992007614816, 20.0
0.02, 60.00000035381424, 99.98771498200679, -1.5707387258629615, 0.012285017999999998, 1.2285017999999999, 0.024, 2.4, 2.4322215149946, 0.0, 0.011433263669122036, 15.974879189961356, 0.0, 0.0750939027285121, 3.538142365755448E-7, 0.011714982000000002, 60.600445856653415, 84.02788009393376, 20.0
0.03, 60.00000314520798, 99.96339276703027, -1.5706243932262702, 0.036607233149946, 2.4322215149946, 0.054, 3.5999999999999996, 3.6364106771623033, 0.0, 0.017180744789513116, 15.974614611730056, 0.0, 0.07547436225468752, 3.1452079767291252E-6, 0.017392766850053996, 60.60529791566462, 84.0040439150066, 20.0
0.04, 60.0000125212307, 99.92702866151211, -1.570452585778375, 0.07297133992156904, 3.6364106771623033, 0.096, 4.8, 4.840560722438256, 0.0, 0.02304355369042488, 15.974221359037557, 0.0, 0.07604549320978159, 1.2521230701167951E-5, 0.023028660078430963, 60.6125893127453, 83.96840874241067, 20.0
0.05, 60.00003473740855, 99.87862305949298, -1.570222150241471, 0.1213769471459516, 4.840560722438256, 0.15000000000000002, 6.0, 6.044682103030306, 0.0, 0.029065946026130104, 15.97370223321421, 0.0, 0.07680979066133535, 3.473740854786911E-5, 0.028623052854048425, 60.62236415807591, 83.92097768228334, 20.0
0.060000000000000005, 60.000078229272205, 99.8181762543218, -1.5699314907812096, 0.18182376817625467, 6.044682103030306, 0.21600000000000003, 7.2, 7.248774812515285, 0.0, 0.03529320428678351, 15.973061057054137, 0.0, 0.07777045384256638, 7.822927220502152E-5, 0.03417623182374535, 60.63468126471893, 83.8617546827004, 20.0
0.07, 60.000153710897806, 99.74568854587245, -1.5695785587383417, 0.2543115163014075, 7.248774812515285, 0.29400000000000004, 8.4, 8.452839053776831, 0.0, 0.041771938927064996, 15.972302772359035, 0.0, 0.07893135687156637, 1.5371089780558123E-4, 0.039688483698592514, 60.64961417260924, 83.79074466757085, 20.0
0.08, 60.000274301403714, 99.66116024196813, -1.5691608393490712, 0.33883990683917586, 8.452839053776831, 0.384, 9.6, 9.656875024076221, 0.0, 0.048550321381047194, 15.97143356468532, 0.0, 0.08029701436005621, 2.743014037136504E-4, 0.045160093160824144, 60.66725120718995, 83.70795357153963, 20.0
0.09, 60.00045568049326, 99.56459166301251, -1.5686753361352608, 0.4354086570799381, 9.656875024076221, 0.486, 10.799999999999999, 10.860882919392536, 0.0, 0.055678297304325185, 15.970461018290647, 0.0, 0.08187254049814002, 4.5568049326050186E-4, 0.0505913429200619, 60.68769555214347, 83.61338838223509, 20.0
0.09999999999999999, 60.00071627432553, 99.45598314785373, -1.5681185531622175, 0.5440174862738635, 10.860882919392536, 0.5999999999999999, 11.999999999999998, 12.064862934344884, 0.0, 0.0632077755481126, 15.969394303402071, 0.0, 0.08366360200374341, 7.162743255264559E-4, 0.055982513726136385, 60.71106533804125, 83.50705718741405, 20.0
0.10999999999999999, 60.001077473155846, 99.33533506119988, -1.5674864754067364, 0.6646661156173124, 12.064862934344884, 0.7259999999999998, 13.199999999999998, 13.268815262203564, 0.0, 0.07119278962928446, 15.9682443980665, 0.0, 0.08567636535108071, 0.0010774731558456097, 0.06133388438268739, 60.73749374855134, 83.38896922682038, 20.0
0.11999999999999998, 60.00156388232098, 99.20264780292409, -1.5667745475104435, 0.797354268239348, 13.268815262203564, 0.8639999999999997, 14.399999999999997, 14.472740094899391, 0.0, 0.0796896286497368, 15.967024347076142, 0.0, 0.08791743875150751, 0.0015638823209798147, 0.0666457317606517, 60.76712914612116, 83.25913494865527, 20.0
0.12999999999999998, 60.00220360824806, 99.05792181967395, -1.565977651223946, 0.9420816691883419, 14.472740094899391, 1.0139999999999996, 15.599999999999996, 15.676637623032972, 0.0, 0.08875693484849263, 15.965749560468707, 0.0, 0.09039380941381414, 0.002203608248059652, 0.07191833081165766, 60.80013521932804, 83.11756607075132, 20.0
0.13999999999999999, 60.00302858123594, 98.90115761928813, -1.5650900818754612, 1.0988480454186715, 15.676637623032972, 1.1759999999999997, 16.799999999999997, 16.880508035883928, 0.0, 0.09845576521260295, 15.964438154122162, 0.0, 0.093112776660046, 0.003028581235938077, 0.07715195458132817, 60.836691154364495, 82.9642756468095, 20.0
0.15, 60.00407491679228, 98.73235578862555, -1.564105524223335, 1.2676531257775108, 16.880508035883928, 1.3499999999999999, 18.0, 18.08435152142005, 0.0, 0.10884961482317426, 15.96311133487324, 0.0, 0.09608188151631097, 0.004074916792276895, 0.0823468742224891, 60.87699183339789, 82.79927813840676, 20.0
0.16, 60.00538331730422, 98.5515170155318, -1.5630170280751035, 1.4484966409917113, 18.08435152142005, 1.536, 19.200000000000003, 19.288168266306382, 0.0, 0.12000439986423944, 15.961793832399032, 0.0, 0.09930883343442405, 0.005383317304222146, 0.08750335900828876, 60.92124806280677, 82.62258949392265, 20.0
